route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
904,904,Bolhão - Coimbrões,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=904,FF7900,000000
905,905,Bolhão - Monte Da Virgem,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=905,FF7900,000000
906,906,Trindade - Madalena,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=906,FF7900,000000
403,403, Boavista (Casa Música) - Campanhã,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=403,187EC2,FFFFFF
209,209,Pasteleira - Prelada,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=209,187EC2,FFFFFF
1,1,Infante - Passeio Alegre,,0,http://www.stcp.pt/pt/viajar/linhas/?linha=1,187EC2,FFFFFF
18,18,Clérigos - Passeio Alegre,,0,http://www.stcp.pt/pt/viajar/linhas/?linha=18,187EC2,FFFFFF
10M,10M,Av.Aliados - Vila D'Este,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=10M,000000,FFFFFF
1M,1M,Av.Aliados - Matosinhos (Praia),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=1M,000000,FFFFFF
3M,3M,Av.Aliados - Aeroporto,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=3M,000000,FFFFFF
4M,4M,Av.Aliados - Maia (Câmara),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=4M,000000,FFFFFF
5M,5M,Av.Aliados - Ermesinde (Estação),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=5M,000000,FFFFFF
7M,7M,Av.Aliados - Valongo,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=7M,000000,FFFFFF
8M,8M,Av.Aliados - S.Pedro Da Cova,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=8M,000000,FFFFFF
9M,9M,Rotunda Aep - Gondomar (via H. S. João),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=9M,000000,FFFFFF
11M,11M,Hosp. S. João - Coimbrões,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=11M,000000,FFFFFF
12M,12M,Av.Aliados - Sto.Ovídio,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=12M,000000,FFFFFF
13M,13M,Av.Aliados - Matosinhos (Mercado),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=13M,000000,FFFFFF
202,202,Aliados - Passeio Alegre (via Av. Bessa),,3,http://www.stcp.pt/pt/viajar/linhas/?linha=202,187EC2,FFFFFF
706,706,H.S.João - Ermesinde(Est)via Mte Penedo,,3,http://www.stcp.pt/pt/viajar/linhas/?linha=706,FF0000,FFFFFF
