service_id,date,exception_type
UTEIS,20231005,2
DOM,20231005,1
UTEIS,20231101,2
DOM,20231101,1
UTEIS,20231201,2
SAB,20231201,1
UTEIS,20231208,2
SAB,20231208,1
UTEIS,20231225,2
DOM,20231225,1
UTEIS,20240101,2
DOM,20240101,1
UTEIS,20240213,2
DOM,20240213,1
UTEIS,20240329,2
SAB,20240329,1
UTEIS,20240425,2
DOM,20240425,1
UTEIS,20240501,2
DOM,20240501,1
UTEIS,20240530,2
DOM,20240530,1
UTEIS,20240610,2
DOM,20240610,1
