route_id,direction_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,shape_id
106,1,UTEIS,106_1_U_1,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_2,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_3,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_4,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_5,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_6,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_7,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_8,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_9,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_10,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_11,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_12,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_13,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_14,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_15,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_16,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_17,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_18,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_19,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_20,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_21,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_22,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_23,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_24,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_25,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_26,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_27,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_28,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_29,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_30,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_31,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_32,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_33,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_34,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_35,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_36,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_37,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_38,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_39,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_40,Francelos,1,,106_0_1_shp
106,1,UTEIS,106_1_U_41,Valadares (Estação),1,,106_1_1_shp
106,0,UTEIS,106_0_U_42,Francelos,1,,106_0_1_shp
107,1,UTEIS,107_1_U_1,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_2,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_3,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_4,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_5,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_6,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_7,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_8,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_9,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_10,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_11,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_12,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_13,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_14,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_15,Estádio do Dragão,1,,107_1_1_shp
107,1,UTEIS,107_1_U_16,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_17,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_18,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_19,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_20,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_21,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_22,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_23,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_24,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_25,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_26,Estádio do Dragão,1,,107_1_1_shp
107,0,UTEIS,107_0_U_27,Areias,1,,107_0_1_shp
107,1,UTEIS,107_1_U_28,Estádio do Dragão,1,,107_1_1_shp
200,1,UTEIS,200_1_U_150,Bolhão,1,,200_1_1_shp
200,0,UTEIS,200_0_U_151,Cast. Queijo,1,,200_0_1_shp
200,1,UTEIS,200_1_U_152,Bolhão,1,,200_1_1_shp
200,0,UTEIS,200_0_U_153,Cast. Queijo,1,,200_0_1_shp
200,0,UTEIS,200_0_U_154,Merc. Foz,1,,200_0_1_shp
200,1,UTEIS,200_1_U_155,Bolhão,1,,200_1_1_shp
200,0,UTEIS,200_0_U_156,Cast. Queijo,1,,200_0_1_shp
200,1,UTEIS,200_1_U_157,Bolhão,1,,200_1_1_shp
200,0,UTEIS,200_0_U_158,Merc. Foz,1,,200_0_1_shp
200,1,UTEIS,200_1_U_159,Bolhão,1,,200_1_1_shp
200,0,UTEIS,200_0_U_160,Merc. Foz,1,,200_0_1_shp
200,1,UTEIS,200_1_U_161,Bolhão,1,,200_1_1_shp
201,1,UTEIS,201_1_U_1,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_2,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_3,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_4,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_5,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_6,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_7,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_8,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_9,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_10,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_11,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_12,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_13,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_14,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_15,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_16,Viso,1,,201_0_1_shp
201,1,UTEIS,201_1_U_17,Trindade,1,,201_1_1_shp
201,0,UTEIS,201_0_U_18,Viso,1,,201_0_1_shp
