shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
BG,41,160717010498,-8,58241558074951,0,
BG,41,1505355834961,-8,58624458312988,1,
BG,41,1466979980469,-8,59297752380371,2,
BG,41,148796081543,-8,59834861755371,3,
BG,41,1497840881348,-8,60590076446533,4,
BG,41,1522789001465,-8,60929870605469,5,
BG,41,1571083068848,-8,61672306060791,6,
BG,41,1585845947266,-8,62224578857422,7,
BG,41,1605758666992,-8,62828159332275,8,
BG,41,1655502319336,-8,6363468170166,9,
BG,41,1729621887207,-8,64176559448242,10,
BG,41,1772537231445,-8,64649772644043,11,
BG,41,1824226379395,-8,65214920043945,12,
BG,41,188102722168,-8,654465675354,13,
BG,41,1941604614258,-8,65577125549316,14,
BG,41,2462348937988,-8,6618070602417,15,
BG,41,2002944946289,-8,65555858612061,16,
BG,41,3004913330078,-8,70400428771973,17,
BG,41,2160682678223,-8,654541015625,18,
BG,41,3150787353516,-8,71420860290527,19,
BG,41,2330131530762,-8,65659332275391,20,
BG,41,3342247009277,-8,72072124481201,21,
BG,41,2382469177246,-8,65821170806885,22,
BG,41,3590965270996,-8,73987007141113,23,
BG,41,2462348937988,-8,6618070602417,24,
BG,41,368953704834,-8,7495584487915,25,
BG,41,2549514770508,-8,66801834106445,26,
BG,41,3781242370605,-8,75808143615723,27,
BG,41,2702980041504,-8,67951488494873,28,
BG,41,2852516174316,-8,69370269775391,29,
BG,41,2936820983887,-8,69923782348633,30,
BG,41,3004913330078,-8,70400428771973,31,
BG,41,3150787353516,-8,71420860290527,32,
BG,41,3212203979492,-8,71868133544922,33,
BG,41,3342247009277,-8,72072124481201,34,
BG,41,3404006958008,-8,72555541992188,35,
BG,41,3459663391113,-8,72812175750732,36,
BG,41,3539848327637,-8,73582553863525,37,
BG,41,3590965270996,-8,73987007141113,38,
BG,41,3646430969238,-8,74522495269775,39,
BG,41,368953704834,-8,7495584487915,40,
BG,41,3734550476074,-8,75412178039551,41,
BG,41,3781242370605,-8,75808143615723,42,
BR,41,3781242370605,-8,75808143615723,0,
BR,41,3734550476074,-8,75412178039551,1,
BR,41,368953704834,-8,7495584487915,2,
BR,41,3590965270996,-8,73987007141113,3,
BR,41,3646430969238,-8,74522495269775,4,
BR,41,3342247009277,-8,72072124481201,5,
BR,41,3590965270996,-8,73987007141113,6,
BR,41,3150787353516,-8,71420860290527,7,
BR,41,3539848327637,-8,73582553863525,8,
BR,41,3004913330078,-8,70400428771973,9,
BR,41,3459663391113,-8,72812175750732,10,
BR,41,2462348937988,-8,6618070602417,11,
BR,41,3404006958008,-8,72555541992188,12,
BR,41,188102722168,-8,654465675354,13,
BR,41,3342247009277,-8,72072124481201,14,
BR,41,1824226379395,-8,65214920043945,15,
BR,41,3212203979492,-8,71868133544922,16,
BR,41,1772537231445,-8,64649772644043,17,
BR,41,3150787353516,-8,71420860290527,18,
BR,41,1729621887207,-8,64176559448242,19,
BR,41,3004913330078,-8,70400428771973,20,
BR,41,1655502319336,-8,6363468170166,21,
BR,41,2936820983887,-8,69923782348633,22,
BR,41,1605758666992,-8,62828159332275,23,
BR,41,2852516174316,-8,69370269775391,24,
BR,41,1585845947266,-8,62224578857422,25,
BR,41,2702980041504,-8,67951488494873,26,
BR,41,1571083068848,-8,61672306060791,27,
BR,41,2549514770508,-8,66801834106445,28,
BR,41,1522789001465,-8,60929870605469,29,
BR,41,2462348937988,-8,6618070602417,30,
BR,41,1497840881348,-8,60590076446533,31,
BR,41,2382469177246,-8,65821170806885,32,
BR,41,148796081543,-8,59834861755371,33,
BR,41,2330131530762,-8,65659332275391,34,
BR,41,1466979980469,-8,59297752380371,35,
BR,41,2160682678223,-8,654541015625,36,
BR,41,1505355834961,-8,58624458312988,37,
BR,41,2002944946289,-8,65555858612061,38,
BR,41,160717010498,-8,58241558074951,39,
BR,41,1941604614258,-8,65577125549316,40,
BR,41,188102722168,-8,654465675354,41,
BR,41,1824226379395,-8,65214920043945,42,
BR,41,1772537231445,-8,64649772644043,43,
BR,41,1729621887207,-8,64176559448242,44,
BR,41,1655502319336,-8,6363468170166,45,
BR,41,1605758666992,-8,62828159332275,46,
BR,41,1585845947266,-8,62224578857422,47,
BR,41,1571083068848,-8,61672306060791,48,
BR,41,1522789001465,-8,60929870605469,49,
BR,41,1497840881348,-8,60590076446533,50,
BR,41,148796081543,-8,59834861755371,51,
BR,41,1466979980469,-8,59297752380371,52,
BR,41,1505355834961,-8,58624458312988,53,
BR,41,160717010498,-8,58241558074951,54,
CG,41,1505355834961,-8,58624458312988,0,
CG,41,1466979980469,-8,59297752380371,1,
CG,41,148796081543,-8,59834861755371,2,
CG,41,1497840881348,-8,60590076446533,3,
CG,41,1522789001465,-8,60929870605469,4,
CG,41,1571083068848,-8,61672306060791,5,
CG,41,1585845947266,-8,62224578857422,6,
CG,41,1605758666992,-8,62828159332275,7,
CG,41,1655502319336,-8,6363468170166,8,
CG,41,1729621887207,-8,64176559448242,9,
CG,41,1772537231445,-8,64649772644043,10,
CG,41,1824226379395,-8,65214920043945,11,
CG,41,188102722168,-8,654465675354,12,
CG,41,1941604614258,-8,65577125549316,13,
CG,41,2006988525391,-8,64970302581787,14,
CG,41,2082328796387,-8,64712238311768,15,
CG,41,2169075012207,-8,64097785949707,16,
CG,41,222339630127,-8,63899612426758,17,
CG,41,2290191650391,-8,62689685821533,18,
CG,41,2346343994141,-8,62393665313721,19,
CG,41,243968963623,-8,62855529785156,20,
CG,41,2535781860352,-8,62830829620361,21,
