service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BU,1,1,1,1,1,0,0,20240408,20240717
BexpU,1,1,1,1,1,0,0,20240408,20240717
CU,1,1,1,1,1,0,0,20240408,20240717
FU,1,1,1,1,1,0,0,20240408,20240717
EU,1,1,1,1,1,0,0,20240408,20240717
AU,1,1,1,1,1,0,0,20240408,20240717
DU,1,1,1,1,1,0,0,20240408,20240717
BS,0,0,0,0,0,1,0,20240408,20240717
CS,0,0,0,0,0,1,0,20240408,20240717
FS,0,0,0,0,0,1,0,20240408,20240717
ES,0,0,0,0,0,1,0,20240408,20240717
AS,0,0,0,0,0,1,0,20240408,20240717
DS,0,0,0,0,0,1,0,20240408,20240717
BDF,0,0,0,0,0,0,1,20240408,20240717
CDF,0,0,0,0,0,0,1,20240408,20240717
FDF,0,0,0,0,0,0,1,20240408,20240717
EDF,0,0,0,0,0,0,1,20240408,20240717
ADF,0,0,0,0,0,0,1,20240408,20240717
DDF,0,0,0,0,0,0,1,20240408,20240717
