route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B,BDF,BDF0,Póvoa de Varzim,0,,BG
B,BDF,BDF1,Póvoa de Varzim,0,,BG
B,BDF,BDF2,Póvoa de Varzim,0,,BG
B,BDF,BDF3,Póvoa de Varzim,0,,BG
B,BDF,BDF4,Póvoa de Varzim,0,,BG
B,BDF,BDF5,Póvoa de Varzim,0,,BG
B,BDF,BDF6,Póvoa de Varzim,0,,BG
B,BDF,BDF7,Póvoa de Varzim,0,,BG
B,BDF,BDF8,Póvoa de Varzim,0,,BG
B,BDF,BDF9,Póvoa de Varzim,0,,BG
B,BDF,BDF10,Póvoa de Varzim,0,,BG
B,BDF,BDF11,Póvoa de Varzim,0,,BG
B,BDF,BDF12,Póvoa de Varzim,0,,BG
B,BDF,BDF13,Póvoa de Varzim,0,,BG
B,BDF,BDF14,Póvoa de Varzim,0,,BG
B,BDF,BDF15,Póvoa de Varzim,0,,BG
B,BDF,BDF16,Póvoa de Varzim,0,,BG
B,BDF,BDF17,Póvoa de Varzim,0,,BG
B,BDF,BDF18,Póvoa de Varzim,0,,BG
B,BDF,BDF19,Póvoa de Varzim,0,,BG
B,BDF,BDF20,Póvoa de Varzim,0,,BG
B,BDF,BDF21,Póvoa de Varzim,0,,BG
B,BDF,BDF22,Póvoa de Varzim,0,,BG
B,BDF,BDF23,Póvoa de Varzim,0,,BG
B,BDF,BDF24,Póvoa de Varzim,0,,BG
B,BDF,BDF25,Póvoa de Varzim,0,,BG
B,BDF,BDF26,Póvoa de Varzim,0,,BG
B,BDF,BDF27,Póvoa de Varzim,0,,BG
B,BDF,BDF28,Póvoa de Varzim,0,,BG
B,BDF,BDF29,Póvoa de Varzim,0,,BG
B,BDF,BDF30,Póvoa de Varzim,0,,BG
B,BDF,BDF31,Póvoa de Varzim,0,,BG
B,BDF,BDF32,Póvoa de Varzim,0,,BG
B,BDF,BDF33,Póvoa de Varzim,0,,BG
B,BDF,BDF34,Póvoa de Varzim,0,,BG
B,BDF,BDF35,Póvoa de Varzim,0,,BG
B,BDF,BDF36,Póvoa de Varzim,0,,BG
B,BDF,BDF37,Póvoa de Varzim,0,,BG
B,BDF,BDF38,Póvoa de Varzim,0,,BG
B,BDF,BDF39,Póvoa de Varzim,0,,BG
B,BDF,BDF40,Póvoa de Varzim,0,,BG
B,BDF,BDF41,Póvoa de Varzim,0,,BG
B,BDF,BDF42,Póvoa de Varzim,0,,BG
B,BDF,BDF43,Póvoa de Varzim,0,,BG
B,BDF,BDF44,Póvoa de Varzim,0,,BG
B,BDF,BDF45,Póvoa de Varzim,0,,BG
B,BS,BS0,Póvoa de Varzim,0,,BG
B,BS,BS1,Póvoa de Varzim,0,,BG
B,BS,BS2,Póvoa de Varzim,0,,BG
B,BS,BS3,Póvoa de Varzim,0,,BG
B,BS,BS4,Póvoa de Varzim,0,,BG
B,BS,BS5,Póvoa de Varzim,0,,BG
B,BS,BS6,Póvoa de Varzim,0,,BG
B,BS,BS7,Póvoa de Varzim,0,,BG
B,BS,BS8,Póvoa de Varzim,0,,BG
B,BS,BS9,Póvoa de Varzim,0,,BG
B,BS,BS10,Póvoa de Varzim,0,,BG
B,BS,BS11,Póvoa de Varzim,0,,BG
B,BS,BS12,Póvoa de Varzim,0,,BG
B,BS,BS13,Póvoa de Varzim,0,,BG
B,BS,BS14,Póvoa de Varzim,0,,BG
B,BS,BS15,Póvoa de Varzim,0,,BG
B,BS,BS16,Póvoa de Varzim,0,,BG
B,BS,BS17,Póvoa de Varzim,0,,BG
B,BS,BS18,Póvoa de Varzim,0,,BG
B,BS,BS19,Póvoa de Varzim,0,,BG
B,BS,BS20,Póvoa de Varzim,0,,BG
B,BS,BS21,Póvoa de Varzim,0,,BG
B,BS,BS22,Póvoa de Varzim,0,,BG
B,BS,BS23,Póvoa de Varzim,0,,BG
B,BS,BS24,Póvoa de Varzim,0,,BG
B,BS,BS25,Póvoa de Varzim,0,,BG
B,BS,BS26,Póvoa de Varzim,0,,BG
B,BS,BS27,Póvoa de Varzim,0,,BG
B,BS,BS28,Póvoa de Varzim,0,,BG
B,BS,BS29,Póvoa de Varzim,0,,BG
B,BS,BS30,Póvoa de Varzim,0,,BG
B,BS,BS31,Póvoa de Varzim,0,,BG
B,BS,BS32,Póvoa de Varzim,0,,BG
B,BS,BS33,Póvoa de Varzim,0,,BG
B,BS,BS34,Póvoa de Varzim,0,,BG
B,BS,BS35,Póvoa de Varzim,0,,BG
B,BS,BS36,Póvoa de Varzim,0,,BG
B,BS,BS37,Póvoa de Varzim,0,,BG
B,BS,BS38,Póvoa de Varzim,0,,BG
B,BS,BS39,Póvoa de Varzim,0,,BG
B,BS,BS40,Póvoa de Varzim,0,,BG
B,BS,BS41,Póvoa de Varzim,0,,BG
B,BS,BS42,Póvoa de Varzim,0,,BG
B,BS,BS43,Póvoa de Varzim,0,,BG
B,BS,BS44,Póvoa de Varzim,0,,BG
B,BS,BS45,Póvoa de Varzim,0,,BG
B,BS,BS46,Póvoa de Varzim,0,,BG
B,BS,BS47,Póvoa de Varzim,0,,BG
B,BS,BS48,Póvoa de Varzim,0,,BG
B,BS,BS49,Póvoa de Varzim,0,,BG
B,BS,BS50,Póvoa de Varzim,0,,BG
B,BU,BU0,Póvoa de Varzim,0,,BG
B,BU,BU1,Póvoa de Varzim,0,,BG
B,BU,BU2,Póvoa de Varzim,0,,BG
B,BU,BU3,Póvoa de Varzim,0,,BG
B,BU,BU4,Póvoa de Varzim,0,,BG
B,BU,BU5,Póvoa de Varzim,0,,BG
B,BU,BU6,Póvoa de Varzim,0,,BG
B,BU,BU7,Póvoa de Varzim,0,,BG
B,BU,BU8,Póvoa de Varzim,0,,BG
B,BU,BU9,Póvoa de Varzim,0,,BG
B,BU,BU10,Póvoa de Varzim,0,,BG
B,BU,BU11,Póvoa de Varzim,0,,BG
B,BU,BU12,Póvoa de Varzim,0,,BG
B,BU,BU13,Póvoa de Varzim,0,,BG
B,BU,BU14,Póvoa de Varzim,0,,BG
B,BU,BU15,Póvoa de Varzim,0,,BG
B,BU,BU16,Póvoa de Varzim,0,,BG
B,BU,BU17,Póvoa de Varzim,0,,BG
B,BU,BU18,Póvoa de Varzim,0,,BG
B,BU,BU19,Póvoa de Varzim,0,,BG
B,BU,BU20,Póvoa de Varzim,0,,BG
B,BU,BU21,Póvoa de Varzim,0,,BG
B,BU,BU22,Póvoa de Varzim,0,,BG
B,BU,BU23,Póvoa de Varzim,0,,BG
B,BU,BU24,Póvoa de Varzim,0,,BG
B,BU,BU25,Póvoa de Varzim,0,,BG
B,BU,BU26,Póvoa de Varzim,0,,BG
B,BU,BU27,Póvoa de Varzim,0,,BG
B,BU,BU28,Póvoa de Varzim,0,,BG
B,BU,BU29,Póvoa de Varzim,0,,BG
B,BU,BU30,Póvoa de Varzim,0,,BG
B,BU,BU31,Póvoa de Varzim,0,,BG
B,BU,BU32,Póvoa de Varzim,0,,BG
B,BU,BU33,Póvoa de Varzim,0,,BG
B,BU,BU34,Póvoa de Varzim,0,,BG
B,BU,BU35,Póvoa de Varzim,0,,BG
B,BU,BU36,Póvoa de Varzim,0,,BG
B,BU,BU37,Póvoa de Varzim,0,,BG
B,BDF,BDF46,Estádio do Dragão,1,,BR
B,BDF,BDF47,Estádio do Dragão,1,,BR
B,BDF,BDF48,Estádio do Dragão,1,,BR
B,BDF,BDF49,Estádio do Dragão,1,,BR
B,BDF,BDF50,Estádio do Dragão,1,,BR
B,BDF,BDF51,Estádio do Dragão,1,,BR
B,BDF,BDF52,Estádio do Dragão,1,,BR
B,BDF,BDF53,Estádio do Dragão,1,,BR
B,BDF,BDF54,Estádio do Dragão,1,,BR
B,BDF,BDF55,Estádio do Dragão,1,,BR
B,BDF,BDF56,Estádio do Dragão,1,,BR
B,BDF,BDF57,Estádio do Dragão,1,,BR
B,BDF,BDF58,Estádio do Dragão,1,,BR
B,BDF,BDF59,Estádio do Dragão,1,,BR
B,BDF,BDF60,Estádio do Dragão,1,,BR
B,BDF,BDF61,Estádio do Dragão,1,,BR
B,BDF,BDF62,Estádio do Dragão,1,,BR
B,BDF,BDF63,Estádio do Dragão,1,,BR
B,BDF,BDF64,Estádio do Dragão,1,,BR
